id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,mentions,urls,photos,replies_count,retweets_count,likes_count,location,hashtags,link,retweet,quote_url,video
1123117531361873920,1123117531361873920,1556607060000,2019-04-30,01:51:00,CDT,788898706586275840,tdatascience,Towards Data Science,,Visualising high-dimensional datasets using PCA and t-SNE in Python by @luckylwk https://buff.ly/2ZGHhO0 ,['luckylwk'],['https://buff.ly/2ZGHhO0'],[],0,14,29,,[],https://twitter.com/TDataScience/status/1123117531361873920,,,0
1123045308861173761,1123045308861173761,1556589841000,2019-04-29,21:04:01,CDT,788898706586275840,tdatascience,Towards Data Science,,Turing Award Won by 3 Pioneers in Artificial Intelligence.  https://buff.ly/2TzUzrj  🖊by @CadeMetz @ylecun @geoffreyhinton Yoshua Bengio @nytimes #ArtificialIntelligence #TDSPick 🏆 pic.twitter.com/uiJ3M2PcAH,"['cademetz', 'ylecun', 'geoffreyhinton', 'nytimes']",['https://buff.ly/2TzUzrj'],['https://pbs.twimg.com/media/D5XbwaPWAAETWib.jpg'],0,2,7,,"['#artificialintelligence', '#tdspick']",https://twitter.com/TDataScience/status/1123045308861173761,,,0
1122996488706117632,1122996488706117632,1556578201000,2019-04-29,17:50:01,CDT,788898706586275840,tdatascience,Towards Data Science,,Separating mixed signals with Independent Component Analysis by @ak_carsten https://buff.ly/2V1NZj0 ,['ak_carsten'],['https://buff.ly/2V1NZj0'],[],0,5,6,,[],https://twitter.com/TDataScience/status/1122996488706117632,,,0
1122996484851605504,1122996484851605504,1556578200000,2019-04-29,17:50:00,CDT,788898706586275840,tdatascience,Towards Data Science,,Machine Learning to Big Data — Scaling Inverted Indexing with Solr https://buff.ly/2INYQqg ,,['https://buff.ly/2INYQqg'],[],0,4,4,,[],https://twitter.com/TDataScience/status/1122996484851605504,,,0
1122979805203501058,1122979805203501058,1556574224000,2019-04-29,16:43:44,CDT,788898706586275840,tdatascience,Towards Data Science,,A Game of Words https://buff.ly/2GJY4XX ,,['https://buff.ly/2GJY4XX'],[],0,2,5,,[],https://twitter.com/TDataScience/status/1122979805203501058,,,0
1122948674953392129,1122948674953392129,1556566802000,2019-04-29,14:40:02,CDT,788898706586275840,tdatascience,Towards Data Science,,RoboSomm Chapter 1: Predicting Grape Varieties https://buff.ly/2IO2ZdI ,,['https://buff.ly/2IO2ZdI'],[],0,3,3,,[],https://twitter.com/TDataScience/status/1122948674953392129,,,0
1122948668015960067,1122948668015960067,1556566800000,2019-04-29,14:40:00,CDT,788898706586275840,tdatascience,Towards Data Science,,A Robot Says You Have Cancer by @swestreich https://buff.ly/2IqTcJw ,['swestreich'],['https://buff.ly/2IqTcJw'],[],0,1,3,,[],https://twitter.com/TDataScience/status/1122948668015960067,,,0
1122842218681774080,1122842218681774080,1556541420000,2019-04-29,07:37:00,CDT,788898706586275840,tdatascience,Towards Data Science,,U.S. Senators’ Social Network — Analysis Based on Twitter  https://buff.ly/2URsxfK  pic.twitter.com/6t0cnXBy5A,,['https://buff.ly/2URsxfK'],['https://pbs.twimg.com/media/D5UjDDCX4AAhsij.jpg'],0,5,8,,[],https://twitter.com/TDataScience/status/1122842218681774080,,,0
1122786096792920064,1122786096792920064,1556528040000,2019-04-29,03:54:00,CDT,788898706586275840,tdatascience,Towards Data Science,,Unsupervised Learning Project: Creating Customer Segments https://buff.ly/2vqv6Hp ,,['https://buff.ly/2vqv6Hp'],[],0,9,23,,[],https://twitter.com/TDataScience/status/1122786096792920064,,,0
1122680061084274688,1122680061084274688,1556502759000,2019-04-28,20:52:39,CDT,788898706586275840,tdatascience,Towards Data Science,,The Importance of Language in Human Cognition and Artificial General Intelligence by @alc_anthro https://buff.ly/2PzBANa ,['alc_anthro'],['https://buff.ly/2PzBANa'],[],1,4,7,,[],https://twitter.com/TDataScience/status/1122680061084274688,,,0
1122584020250918914,1122584020250918914,1556479861000,2019-04-28,14:31:01,CDT,788898706586275840,tdatascience,Towards Data Science,,DeepMind and Google: The battle to control artificial intelligence.  https://buff.ly/2Ou512E  🖊by @1843mag @demishassabis @DeepMindAI @GoogleAI #AlphaGo #ArtificialIntelligence #TDSPick ✨ pic.twitter.com/mIpv9qooue,"['1843mag', 'demishassabis', 'deepmindai', 'googleai']",['https://buff.ly/2Ou512E'],"['https://pbs.twimg.com/media/D5Q4N6JWkAAJPW-.jpg', 'https://pbs.twimg.com/media/D5Q4N6CXoAE5oEn.jpg']",0,1,4,,"['#alphago', '#artificialintelligence', '#tdspick']",https://twitter.com/TDataScience/status/1122584020250918914,,,0
1122525127239970817,1122525127239970817,1556465820000,2019-04-28,10:37:00,CDT,788898706586275840,tdatascience,Towards Data Science,,How to be Pythonic and why you should care https://buff.ly/2UViwOB ,,['https://buff.ly/2UViwOB'],[],0,4,30,,[],https://twitter.com/TDataScience/status/1122525127239970817,,,0
1122525126225010688,1122525126225010688,1556465820000,2019-04-28,10:37:00,CDT,788898706586275840,tdatascience,Towards Data Science,,My Data Science Blogging Journey on Medium till now by @MLWhiz https://buff.ly/2PB8gps ,['mlwhiz'],['https://buff.ly/2PB8gps'],[],0,3,9,,[],https://twitter.com/TDataScience/status/1122525126225010688,,,0
1122415404750639104,1122415404750639104,1556439660000,2019-04-28,03:21:00,CDT,788898706586275840,tdatascience,Towards Data Science,,The Ultimate Technical Skill in Data Visualization for Data Scientists by @LittleFunnyGeek https://buff.ly/2UWxpQD ,['littlefunnygeek'],['https://buff.ly/2UWxpQD'],[],0,11,17,,[],https://twitter.com/TDataScience/status/1122415404750639104,,,0
1122398042320252928,1122398042320252928,1556435521000,2019-04-28,02:12:01,CDT,788898706586275840,tdatascience,Towards Data Science,,Which Democratic Candidate Gets the Most News Coverage? by @MichaelTauberg https://buff.ly/2Gucsoa ,['michaeltauberg'],['https://buff.ly/2Gucsoa'],[],0,0,3,,[],https://twitter.com/TDataScience/status/1122398042320252928,,,0
1122318047036026882,1122318047036026882,1556416448000,2019-04-27,20:54:08,CDT,788898706586275840,tdatascience,Towards Data Science,,Creating Bitcoin trading bots that don’t lose money https://buff.ly/2J0Wq6S ,,['https://buff.ly/2J0Wq6S'],[],0,3,9,,[],https://twitter.com/TDataScience/status/1122318047036026882,,,0
1122238489767100416,1122238489767100416,1556397480000,2019-04-27,15:38:00,CDT,788898706586275840,tdatascience,Towards Data Science,,Modern Parallel and Distributed Python: A Quick Tutorial on Ray https://buff.ly/2UmOQFT ,,['https://buff.ly/2UmOQFT'],[],0,7,29,,[],https://twitter.com/TDataScience/status/1122238489767100416,,,0
1122197222135934977,1122197222135934977,1556387641000,2019-04-27,12:54:01,CDT,788898706586275840,tdatascience,Towards Data Science,,"Roll Your Own Analytics. How to build a free, privacy-focused alternative to Google Analytics.  https://buff.ly/2TLBQZU  🖊by @pcmaffey @awscloud #Analytics #GoogleAnalytics #TDSPick 🎯 pic.twitter.com/5VfXnyFpgF","['pcmaffey', 'awscloud']",['https://buff.ly/2TLBQZU'],['https://pbs.twimg.com/media/D5LYbQPW0AAR_yi.jpg'],0,1,4,,"['#analytics', '#googleanalytics', '#tdspick']",https://twitter.com/TDataScience/status/1122197222135934977,,,0
1122161231668961280,1122161231668961280,1556379061000,2019-04-27,10:31:01,CDT,788898706586275840,tdatascience,Towards Data Science,,Open Minded AI: Improving Performance by Keeping All Options on the Table by @shakedzy https://buff.ly/2ILNNO6 ,['shakedzy'],['https://buff.ly/2ILNNO6'],[],0,1,4,,[],https://twitter.com/TDataScience/status/1122161231668961280,,,0
1122121008230674432,1122121008230674432,1556369471000,2019-04-27,07:51:11,CDT,788898706586275840,tdatascience,Towards Data Science,,How I Passed the Google Cloud Professional Data Engineer Certification Exam by @mrdbourke https://buff.ly/2GClSgc ,['mrdbourke'],['https://buff.ly/2GClSgc'],[],0,6,21,,[],https://twitter.com/TDataScience/status/1122121008230674432,,,0
1122117443344850946,1122117443344850946,1556368621000,2019-04-27,07:37:01,CDT,788898706586275840,tdatascience,Towards Data Science,,Bewildering Brain by @al_xing https://buff.ly/2GCKtmc ,['al_xing'],['https://buff.ly/2GCKtmc'],[],0,2,3,,[],https://twitter.com/TDataScience/status/1122117443344850946,,,0
1121906806043938818,1121906806043938818,1556318401000,2019-04-26,17:40:01,CDT,788898706586275840,tdatascience,Towards Data Science,,Reliving Avengers: Infinity War with spaCy and Natural Language Processing by @jdiossantos https://buff.ly/2IPwtXM ,['jdiossantos'],['https://buff.ly/2IPwtXM'],[],1,1,10,,[],https://twitter.com/TDataScience/status/1121906806043938818,,,0
1121794061055053824,1121794061055053824,1556291520000,2019-04-26,10:12:00,CDT,788898706586275840,tdatascience,Towards Data Science,,How does the digital economy create ‘alternative data’? https://buff.ly/2vklIoC ,,['https://buff.ly/2vklIoC'],[],0,0,1,,[],https://twitter.com/TDataScience/status/1121794061055053824,,,0
1121773677136285696,1121773677136285696,1556286660000,2019-04-26,08:51:00,CDT,788898706586275840,tdatascience,Towards Data Science,,Takeaways from OpenAI Five (2019) by @shekkery https://buff.ly/2IPx4Zw ,['shekkery'],['https://buff.ly/2IPx4Zw'],[],1,1,3,,[],https://twitter.com/TDataScience/status/1121773677136285696,,,0
1121773676783861762,1121773676783861762,1556286660000,2019-04-26,08:51:00,CDT,788898706586275840,tdatascience,Towards Data Science,,Model the performance of five elite swimmers based on past training intensity https://buff.ly/2PtsFwG ,,['https://buff.ly/2PtsFwG'],[],0,1,10,,[],https://twitter.com/TDataScience/status/1121773676783861762,,,0
1121771870070743040,1121771870070743040,1556286229000,2019-04-26,08:43:49,CDT,788898706586275840,tdatascience,Towards Data Science,,The Combo effect against the Butterfly effect by @smbilodeau https://buff.ly/2PwsEs7 ,['smbilodeau'],['https://buff.ly/2PwsEs7'],[],0,1,2,,[],https://twitter.com/TDataScience/status/1121771870070743040,,,0
1121755060147490817,1121755060147490817,1556282222000,2019-04-26,07:37:02,CDT,788898706586275840,tdatascience,Towards Data Science,,Introducing Plotly Express.  https://buff.ly/2uhDxUI  🖊by @plotlygraphs #dataviz #DataScience #TDSPick 📊 pic.twitter.com/kHsdrVyXqo,['plotlygraphs'],['https://buff.ly/2uhDxUI'],"['https://pbs.twimg.com/media/D5FGSCrXkAEzaph.jpg', 'https://pbs.twimg.com/media/D5FGSDpWsAAa7KI.jpg', 'https://pbs.twimg.com/media/D5FGSDxW4AAlN47.jpg', 'https://pbs.twimg.com/media/D5FGSCEWAAAqKcW.jpg']",0,8,22,,"['#dataviz', '#datascience', '#tdspick']",https://twitter.com/TDataScience/status/1121755060147490817,,,0
1121722337613815809,1121722337613815809,1556274420000,2019-04-26,05:27:00,CDT,788898706586275840,tdatascience,Towards Data Science,,Speed Up Your Exploratory Data Analysis With Pandas-Profiling https://buff.ly/2UH6Yu2 ,,['https://buff.ly/2UH6Yu2'],[],0,7,15,,[],https://twitter.com/TDataScience/status/1121722337613815809,,,0
1121622184777007104,1121622184777007104,1556250542000,2019-04-25,22:49:02,CDT,788898706586275840,tdatascience,Towards Data Science,,The Ethical and Privacy Issues of Recommendation Engines on Media Platforms   https://buff.ly/2GEmQde  pic.twitter.com/Srm65XICsL,,['https://buff.ly/2GEmQde'],['https://pbs.twimg.com/media/D5DNbqTVUAUbWPs.jpg'],0,2,1,,[],https://twitter.com/TDataScience/status/1121622184777007104,,,0
1121622177864765441,1121622177864765441,1556250540000,2019-04-25,22:49:00,CDT,788898706586275840,tdatascience,Towards Data Science,,Raising a child vs Training a machine by @LaiQueffelec https://buff.ly/2ZvXHc5 ,['laiqueffelec'],['https://buff.ly/2ZvXHc5'],[],0,1,4,,[],https://twitter.com/TDataScience/status/1121622177864765441,,,0
1121550456453570560,1121550456453570560,1556233440000,2019-04-25,18:04:00,CDT,788898706586275840,tdatascience,Towards Data Science,,"The Fundamental Problem of Machine Learning, Without Math https://buff.ly/2PwrT2g ",,['https://buff.ly/2PwrT2g'],[],0,6,25,,[],https://twitter.com/TDataScience/status/1121550456453570560,,,0
